127.0.0.1 - - [19/Aug/2019:21:05:39 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:05:40 +0900] "GET /bbb1/test1/bimbambum.html HTTP/1.1" 200 2954
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:05:40 +0900] "GET /bbb1/test1/%E2%80%9Cnaver_novel.jpg%E2%80%9D HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:05:40 +0900] "GET /bbb1/test1/%E2%80%9Cmunpia.jpg%E2%80%9D HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:05:40 +0900] "GET /bbb1/test1/%E2%80%9Cridibooks.jpg%E2%80%9D HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:05:40 +0900] "GET /bbb1/test1/%E2%80%9Ckakaopage.jpg%E2%80%9D HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:05:41 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:06:09 +0900] "GET /bbb1/test1/bimbambum.html HTTP/1.1" 200 2954
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:06:10 +0900] "GET /bbb1/test1/%E2%80%9Cnaver_novel.jpg%E2%80%9D HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:06:10 +0900] "GET /bbb1/test1/%E2%80%9Cmunpia.jpg%E2%80%9D HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:06:10 +0900] "GET /bbb1/test1/%E2%80%9Cridibooks.jpg%E2%80%9D HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:06:10 +0900] "GET /bbb1/test1/%E2%80%9Ckakaopage.jpg%E2%80%9D HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:13:48 +0900] "GET /bbb1/test1/bimbambum.html HTTP/1.1" 200 3046
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:13:48 +0900] "GET /bbb1/test1/:/images/bimbambomlogo.png HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:13:48 +0900] "GET /bbb1/test1/%E2%80%9Cnaver_novel.jpg%E2%80%9D HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:13:48 +0900] "GET /bbb1/test1/%E2%80%9Ckakaopage.jpg%E2%80%9D HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:13:48 +0900] "GET /bbb1/test1/%E2%80%9Cridibooks.jpg%E2%80%9D HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:13:48 +0900] "GET /bbb1/test1/%E2%80%9Cmunpia.jpg%E2%80%9D HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:13:59 +0900] "GET /bbb1/test1/bimbambum.html HTTP/1.1" 200 3045
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:13:59 +0900] "GET /images/bimbambomlogo.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:13:59 +0900] "GET /bbb1/test1/%E2%80%9Cmunpia.jpg%E2%80%9D HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:13:59 +0900] "GET /bbb1/test1/%E2%80%9Cridibooks.jpg%E2%80%9D HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:13:59 +0900] "GET /bbb1/test1/%E2%80%9Cnaver_novel.jpg%E2%80%9D HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [19/Aug/2019:21:13:59 +0900] "GET /bbb1/test1/%E2%80%9Ckakaopage.jpg%E2%80%9D HTTP/1.1" 404 1078
